"filename", "language", "pip requirements", "Python", "HTML", "Markdown", "comment", "blank", "total"
"d:\django projects\Full project code\adnan-game-animal\animal\migrations\0033_alter_summeryofletter_time.py", "Python", 0, 14, 0, 0, 1, 6, 21
"d:\django projects\Full project code\adnan-game-animal\animal\migrations\0034_alter_summeryofletter_time.py", "Python", 0, 14, 0, 0, 1, 6, 21
"d:\django projects\Full project code\adnan-game-animal\animal\migrations\0035_alter_summeryofletter_time.py", "Python", 0, 14, 0, 0, 1, 6, 21
"d:\django projects\Full project code\adnan-game-animal\animal\migrations\0036_alter_summeryofletter_time.py", "Python", 0, 14, 0, 0, 1, 6, 21
"d:\django projects\Full project code\adnan-game-animal\animal\migrations\0037_alter_summeryofletter_time.py", "Python", 0, 14, 0, 0, 1, 6, 21
"d:\django projects\Full project code\adnan-game-animal\animal\migrations\0038_alter_summeryofletter_time.py", "Python", 0, 14, 0, 0, 1, 6, 21
"d:\django projects\Full project code\adnan-game-animal\animal\migrations\0039_alter_summeryofletter_time.py", "Python", 0, 14, 0, 0, 1, 6, 21
"d:\django projects\Full project code\adnan-game-animal\animal\migrations\0040_alter_summeryofletter_time.py", "Python", 0, 14, 0, 0, 1, 6, 21
"d:\django projects\Full project code\adnan-game-animal\animal\migrations\0041_alter_summeryofletter_time.py", "Python", 0, 14, 0, 0, 1, 6, 21
"d:\django projects\Full project code\adnan-game-animal\animal\migrations\0042_alter_summeryofletter_time.py", "Python", 0, 14, 0, 0, 1, 6, 21
"d:\django projects\Full project code\adnan-game-animal\animal\migrations\0043_alter_summeryofletter_time.py", "Python", 0, 14, 0, 0, 1, 6, 21
"d:\django projects\Full project code\adnan-game-animal\animal\migrations\0044_alter_summeryofletter_time.py", "Python", 0, 14, 0, 0, 1, 6, 21
"d:\django projects\Full project code\adnan-game-animal\animal\migrations\0045_lang_alter_summeryofletter_time.py", "Python", 0, 21, 0, 0, 1, 6, 28
"d:\django projects\Full project code\adnan-game-animal\animal\migrations\0046_lang_user_alter_summeryofletter_time.py", "Python", 0, 19, 0, 0, 1, 6, 26
"d:\django projects\Full project code\adnan-game-animal\animal\migrations\0047_alter_lang_user_alter_summeryofletter_time.py", "Python", 0, 19, 0, 0, 1, 6, 26
"d:\django projects\Full project code\adnan-game-animal\animal\migrations\0048_alter_summeryofletter_time.py", "Python", 0, 14, 0, 0, 1, 6, 21
"d:\django projects\Full project code\adnan-game-animal\animal\migrations\0049_alter_summeryofletter_time.py", "Python", 0, 14, 0, 0, 1, 6, 21
"d:\django projects\Full project code\adnan-game-animal\animal\migrations\0050_alter_summeryofletter_time.py", "Python", 0, 14, 0, 0, 1, 6, 21
"d:\django projects\Full project code\adnan-game-animal\animal\migrations\0051_alter_summeryofletter_time.py", "Python", 0, 14, 0, 0, 1, 6, 21
